0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,Id,SalePrice
6.0,1976.0,2.0,1.0,475.0,725.0,1479.0,725.0,754.0,2.0,36.0,11856.0,12.0,6.0,2850.0,4350.0,8874.0,4350.0,4524.0,12.0,3904576.0,3952.0,1976.0,938600.0,1432600.0,2922504.0,1432600.0,1489904.0,3952.0,4.0,2.0,950.0,1450.0,2958.0,1450.0,1508.0,4.0,1.0,475.0,725.0,1479.0,725.0,754.0,2.0,225625.0,344375.0,702525.0,344375.0,358150.0,950.0,525625.0,1072275.0,525625.0,546650.0,1450.0,2187441.0,1072275.0,1115166.0,2958.0,525625.0,546650.0,1450.0,568516.0,1508.0,4.0,109,130500
7.0,1996.0,2.0,1.0,559.0,913.0,2122.0,913.0,1209.0,2.0,49.0,13972.0,14.0,7.0,3913.0,6391.0,14854.0,6391.0,8463.0,14.0,3984016.0,3992.0,1996.0,1115764.0,1822348.0,4235512.0,1822348.0,2413164.0,3992.0,4.0,2.0,1118.0,1826.0,4244.0,1826.0,2418.0,4.0,1.0,559.0,913.0,2122.0,913.0,1209.0,2.0,312481.0,510367.0,1186198.0,510367.0,675831.0,1118.0,833569.0,1937386.0,833569.0,1103817.0,1826.0,4502884.0,1937386.0,2565498.0,4244.0,833569.0,1103817.0,1826.0,1461681.0,2418.0,4.0,544,220000
5.0,1953.0,1.0,0.0,246.0,1057.0,1057.0,1057.0,0.0,0.0,25.0,9765.0,5.0,0.0,1230.0,5285.0,5285.0,5285.0,0.0,0.0,3814209.0,1953.0,0.0,480438.0,2064321.0,2064321.0,2064321.0,0.0,0.0,1.0,0.0,246.0,1057.0,1057.0,1057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60516.0,260022.0,260022.0,260022.0,0.0,0.0,1117249.0,1117249.0,1117249.0,0.0,0.0,1117249.0,1117249.0,0.0,0.0,1117249.0,0.0,0.0,0.0,0.0,0.0,153,109000
5.0,2006.0,2.0,1.0,400.0,384.0,1444.0,744.0,700.0,2.0,25.0,10030.0,10.0,5.0,2000.0,1920.0,7220.0,3720.0,3500.0,10.0,4024036.0,4012.0,2006.0,802400.0,770304.0,2896664.0,1492464.0,1404200.0,4012.0,4.0,2.0,800.0,768.0,2888.0,1488.0,1400.0,4.0,1.0,400.0,384.0,1444.0,744.0,700.0,2.0,160000.0,153600.0,577600.0,297600.0,280000.0,800.0,147456.0,554496.0,285696.0,268800.0,768.0,2085136.0,1074336.0,1010800.0,2888.0,553536.0,520800.0,1488.0,490000.0,1400.0,4.0,318,174000
6.0,1900.0,2.0,0.0,484.0,676.0,1445.0,831.0,614.0,0.0,36.0,11400.0,12.0,0.0,2904.0,4056.0,8670.0,4986.0,3684.0,0.0,3610000.0,3800.0,0.0,919600.0,1284400.0,2745500.0,1578900.0,1166600.0,0.0,4.0,0.0,968.0,1352.0,2890.0,1662.0,1228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234256.0,327184.0,699380.0,402204.0,297176.0,0.0,456976.0,976820.0,561756.0,415064.0,0.0,2088025.0,1200795.0,887230.0,0.0,690561.0,510234.0,0.0,376996.0,0.0,0.0,255,138500
6.0,1966.0,2.0,1.0,578.0,1517.0,1888.0,1888.0,0.0,2.0,36.0,11796.0,12.0,6.0,3468.0,9102.0,11328.0,11328.0,0.0,12.0,3865156.0,3932.0,1966.0,1136348.0,2982422.0,3711808.0,3711808.0,0.0,3932.0,4.0,2.0,1156.0,3034.0,3776.0,3776.0,0.0,4.0,1.0,578.0,1517.0,1888.0,1888.0,0.0,2.0,334084.0,876826.0,1091264.0,1091264.0,0.0,1156.0,2301289.0,2864096.0,2864096.0,0.0,3034.0,3564544.0,3564544.0,0.0,3776.0,3564544.0,0.0,3776.0,0.0,0.0,4.0,138,190000
6.0,2005.0,2.0,0.0,525.0,547.0,1072.0,1072.0,0.0,0.0,36.0,12030.0,12.0,0.0,3150.0,3282.0,6432.0,6432.0,0.0,0.0,4020025.0,4010.0,0.0,1052625.0,1096735.0,2149360.0,2149360.0,0.0,0.0,4.0,0.0,1050.0,1094.0,2144.0,2144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275625.0,287175.0,562800.0,562800.0,0.0,0.0,299209.0,586384.0,586384.0,0.0,0.0,1149184.0,1149184.0,0.0,0.0,1149184.0,0.0,0.0,0.0,0.0,0.0,2827,140000
5.0,1959.0,1.0,0.0,531.0,1188.0,1188.0,1188.0,0.0,0.0,25.0,9795.0,5.0,0.0,2655.0,5940.0,5940.0,5940.0,0.0,0.0,3837681.0,1959.0,0.0,1040229.0,2327292.0,2327292.0,2327292.0,0.0,0.0,1.0,0.0,531.0,1188.0,1188.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281961.0,630828.0,630828.0,630828.0,0.0,0.0,1411344.0,1411344.0,1411344.0,0.0,0.0,1411344.0,1411344.0,0.0,0.0,1411344.0,0.0,0.0,0.0,0.0,0.0,145,142000
5.0,1952.0,1.0,0.0,420.0,924.0,924.0,924.0,0.0,0.0,25.0,9760.0,5.0,0.0,2100.0,4620.0,4620.0,4620.0,0.0,0.0,3810304.0,1952.0,0.0,819840.0,1803648.0,1803648.0,1803648.0,0.0,0.0,1.0,0.0,420.0,924.0,924.0,924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176400.0,388080.0,388080.0,388080.0,0.0,0.0,853776.0,853776.0,853776.0,0.0,0.0,853776.0,853776.0,0.0,0.0,853776.0,0.0,0.0,0.0,0.0,0.0,1942,112500
5.0,1969.0,1.0,2.0,504.0,1040.0,2080.0,1040.0,1040.0,2.0,25.0,9845.0,5.0,10.0,2520.0,5200.0,10400.0,5200.0,5200.0,10.0,3876961.0,1969.0,3938.0,992376.0,2047760.0,4095520.0,2047760.0,2047760.0,3938.0,1.0,2.0,504.0,1040.0,2080.0,1040.0,1040.0,2.0,4.0,1008.0,2080.0,4160.0,2080.0,2080.0,4.0,254016.0,524160.0,1048320.0,524160.0,524160.0,1008.0,1081600.0,2163200.0,1081600.0,1081600.0,2080.0,4326400.0,2163200.0,2163200.0,4160.0,1081600.0,1081600.0,2080.0,1081600.0,2080.0,4.0,1956,135000
