Id,SalePrice
2658,168896.46616860118
2718,207595.41505587334
2414,196377.36033940036
1989,111529.20127040369
625,183677.35401658493
333,93010.30186938087
1327,100267.83156605647
858,144307.23852713616
95,218689.81396398065
1568,172071.2934405735
2482,173536.93724473042
1364,133041.5716329763
2584,174193.74647520017
818,282837.9596638641
2673,162313.43746326957
2089,121301.08023743099
1297,172961.92025681818
790,125612.5142023362
2616,195061.531395499
720,197939.97209004406
222,126027.31986702979
557,129980.9685065134
1148,207696.70253513777
2766,153516.40742462757
534,211422.03624358494
1452,115567.12992614659
630,117173.0115418376
2648,118290.21790179319
125,154286.8107751389
1904,21940.33653842588
1670,107755.77268644911
756,94002.11893327883
717,248490.7315941822
1032,144620.89201824716
852,227332.42543642048
1731,194413.81890863087
2639,110642.41732900694
2071,83409.24091939919
1267,103225.90769884537
1851,216265.3136961715
567,166773.190388322
2439,220386.5588572981
1898,154657.56472111645
647,138258.75915500987
2256,217581.7292315883
979,93916.01737833396
1444,224999.05000936333
2485,115590.84739446116
157,114090.9320884163
88,125031.51145196217
2003,110768.41877055785
186,222558.2163041965
1425,272851.35687838995
2695,122262.25936289853
738,104012.12547281967
395,154026.3216934651
1353,186198.41106448055
1878,148217.78198890283
390,190489.04834355938
1456,241259.09453545394
1103,302719.6994867303
1387,122597.84322726447
2070,131342.343521105
1199,203323.19555554737
2479,180317.3456860074
501,300038.04910754773
2362,75298.27317167481
1718,196516.3761324198
2188,28816.000196766807
1483,151391.98170464265
2557,73058.81068626535
437,303432.79718108906
2224,197291.6487629332
1628,187086.89150928555
397,129670.80029636738
587,208029.96844042686
971,153425.2672094436
2611,155001.54232258082
1887,96076.53661037562
2399,303850.7773730714
2148,220542.1930707997
304,139322.36970847053
1997,118251.41141208296
2817,97572.8921000699
1431,187582.74106073205
427,331462.62049728783
263,123433.36244267249
598,174626.87921694492
2895,253188.9131399491
687,165414.22502819577
1822,117900.86081439909
2191,89819.92533300282
179,138671.06003215408
1009,218472.65490718978
2010,109317.12568203511
1991,158564.724252261
1411,157580.90203372622
1721,256562.1192201865
1144,195850.019361789
593,235295.64707816055
575,258260.50430875586
1249,196553.33877807378
1604,119452.14916855807
1064,383123.84719640284
1923,160919.24045090366
1988,86508.03430394572
2325,170429.58931698208
114,208954.66705505713
2700,221634.22797127045
217,145822.04297651502
343,187416.20823956048
386,254918.19937702012
2005,101202.01464600768
2908,131385.36033388204
1814,221201.82708069403
2446,410123.2421427496
208,141678.1783657117
1679,129757.62057498866
822,303148.78510615265
6,187533.0966218271
1781,354804.21515968756
2397,269298.78621060785
2340,285229.3656599774
1618,171676.17991926626
2843,131457.44237720396
1061,330003.7126779632
2786,111702.43230239698
1935,114157.09927174798
1341,105273.02043331298
521,294968.58235970733
2136,125875.6411674394
996,189084.36652749195
227,144636.54774121346
135,154321.77653244825
1167,178081.736200433
294,223752.72559859115
1776,219374.12141267944
540,202417.56407084235
1717,196517.02827947633
2303,111188.68948453618
116,190540.81367105048
127,119591.40476978652
1371,133607.18800649117
1014,186583.5765918065
1507,91481.40276128892
702,162333.28969394416
750,173028.11515966512
261,158595.80016692355
1559,58546.58936035668
577,240137.92914658017
2812,218316.1805145921
2080,170380.81124399218
1368,122358.15340791305
2376,112377.88815589389
659,87758.30403208232
1235,123124.2709231556
332,78909.86383750534
1917,136017.97523340688
2094,250366.4811176221
1460,287817.97499634174
1471,198276.42139534245
1509,114174.67400647397
1922,119117.38662227697
433,393979.0672894096
460,268832.47762174776
1116,264131.34470048244
1137,178822.68750315008
53,195212.49201676564
2354,249144.94019213307
1475,217965.72138703428
1761,466479.0548100531
842,139455.54753688548
2739,171985.71841482935
2509,181308.95516990544
1007,217799.36820141715
2610,183286.86824996164
1952,77019.8956879836
2719,206504.2312825151
2921,90604.170215082
1966,138866.7974359598
292,124113.38559110241
1204,217840.38126248645
1829,241174.95459330943
2419,199108.0811284529
391,174367.34607020754
798,135071.86279704818
481,198868.60656572343
193,206871.70948471746
555,123643.46916943998
899,64175.66899499181
2357,203360.0507267213
328,118197.64794029947
1356,112708.78514924122
1154,108972.53595156048
1730,175519.40234179562
2249,148409.84520548815
1119,267667.9162109195
2856,126155.78829717403
1394,140377.31899022334
2587,133396.1503870415
61,317057.68669067195
2661,206707.924106044
2711,138515.64326763782
1147,189024.71892408747
757,138581.44835816312
2623,85544.83379931911
2378,168546.489488906
1413,143772.4509368809
1722,235852.5000053381
1112,214034.08885867207
1623,191420.68512138643
1201,194198.62467021612
1513,91901.06502250966
957,252827.26552801114
1171,270331.7632333952
1145,212562.55442246608
2726,239740.54824151308
703,166335.20636196434
760,61183.57908365491
1964,120883.62202423206
2512,196674.62759027316
159,170420.82641116844
1281,186102.21196328325
468,177447.6332686894
290,128449.61766560993
665,104627.92810333078
1463,285941.05529483303
1792,235833.26183850598
923,140654.9014337901
500,273526.0533032756
1408,138381.77353169897
331,59612.324807187426
170,111193.20282942487
2192,79417.11026507511
2571,293828.77951916924
2314,170325.94661689526
2647,90018.53820620256
422,347427.33700200485
2457,324613.35719804524
1838,211175.2088194898
2805,262775.5046928454
1645,176485.53898465273
1711,286332.2694316715
2825,251737.68591935607
322,321258.65929252736
